filename,transcription
call_455.mp3,Phoenix 911 where is the emergency hello 9 1 1. 0
call_475.mp3,911 location of your emergency 1880 Springview the telephone number to California
call_694.mp3,Transcription service error: recognition connection failed: [Errno 32] Broken pipe
call_541.mp3,Transcription service error: recognition request failed: Bad Request
call_338.mp3,75 miles per hour
call_463.mp3,Transcription service error: recognition request failed: Bad Request
call_459.mp3,10 200 149 369 192 200014939
call_155.mp3,Gwinnett County 911 yes ma'am my neighbor just ran over someone tried to kill her in her house I don't know what's the address 2842 East Mount Tabor circle circle
call_474.mp3,I want to work what's the address
call_723.mp3,my brother killed my brother I heard the street name so I can hear you brother I need to find out what's going on at this house family dentist
call_333.mp3,Transcription service error: recognition request failed: Bad Request
call_72.mp3,go to
call_622.mp3,Transcription service error: recognition request failed: Bad Request
call_141.mp3,Transcription service error: recognition request failed: Bad Request
call_536.mp3,Transcription service error: recognition request failed: Bad Request
call_510.mp3,Transcription service error: recognition connection failed: [Errno 32] Broken pipe
call_101.mp3,Transcription service error: recognition request failed: Bad Request
call_629.mp3,Transcription service error: recognition connection failed: [Errno 32] Broken pipe
call_481.mp3,yes I'm on North 1st Avenue
call_104.mp3,Transcription service error: recognition connection failed: [Errno 32] Broken pipe
call_681.mp3,911 what's the address of your emergency and what's the problem there we just need a policeman please what's the problem there please I think there's been a murder okay and where is the person at that is the victim I don't know okay I need a little bit more information from you she killed somebody in the hospital right now we took her to the hospital last night are you talking about Sheila yeah we took her to the hospital last night period
call_662.mp3,emergency emergency
call_444.mp3,Could not understand audio
call_202.mp3,Transcription service error: recognition connection failed: [Errno 32] Broken pipe
call_627.mp3,call 13850 Angel Valley Road
call_36.mp3,911
call_450.mp3,91166
call_461.mp3,Transcription service error: recognition connection failed: [Errno 32] Broken pipe
call_464.mp3,Cleveland Police Hollinger some Sugarland Boulevard
call_82.mp3,Transcription service error: recognition request failed: Bad Request
call_720.mp3,Transcription service error: recognition connection failed: [Errno 32] Broken pipe
call_318.mp3,Transcription service error: recognition connection failed: [Errno 32] Broken pipe
call_741.mp3,1751 Kingsbridge Road can you hear me hello
call_206.mp3,Transcription service error: recognition connection failed: [Errno 32] Broken pipe
call_276.mp3,Transcription service error: recognition request failed: Bad Request
call_738.mp3,52206
call_43.mp3,71660 South State Boulevard
call_565.mp3,can I get a police on Driving Park and they just dropped my 13-year-old daughter and it's about to be all hell break loose on this morning
call_477.mp3,yes please this is Orange County utilities emergency dispatch we found a human skull oh my gosh I know we got to the meter reader yes I'm going to speak right now with the representative from our Field Services facilities everything is recorded here he is how are you doing what's the location and right off of suburban and check us out on the Kelly Anthony area right now do you have a specific address for me or not Department
call_255.mp3,Costco hours
call_739.mp3,Transcription service error: recognition request failed: Bad Request
call_148.mp3,Knox County 91166
call_668.mp3,911 what is the location of the emergency room at 1: 1
call_670.mp3,911 oh excuse me 911 I'm not in any danger right now but it's from urgent these people they came through my door and my mom is at work and so is my dad but they can't do my store and they stole a ton of our stuff a whole lot of it they told me to get down I did they have any weapons I'm not quite sure what your name 12 years old by yourself I think I'm not quite sure yes and how many people male female license office hours
call_18.mp3,San Antonio 911 what's your emergency department 70995
call_672.mp3,Val Vista and Baseline by the Taco Bell 99999 Wisconsin
call_399.mp3,September 4th 2008 22 hours 49 minutes 44 seconds 94537 police fire Medical
call_592.mp3,the address of the emergency department
call_624.mp3,can you send an ambulance at 2:11 12:00 Castlewood Terrace what's going on there I have no idea
call_526.mp3,911 emergency
call_520.mp3,10 mm 3 seconds February 14th 2009 Police Department 4022 a.m. 44 seconds February 14th 2009 at 2:30 a.m. 1818 seconds February 14th 2009 apartment what is your name OK Google February 14th 2000 4:05 a.m. 30 seconds February 14th 2019
call_546.mp3,Transcription service error: recognition request failed: Bad Request
call_712.mp3,Wednesday May 12th 2010 at 1 hour 50 minutes and 19 seconds
call_370.mp3,Could not understand audio
call_75.mp3,Transcription service error: recognition request failed: Bad Request
call_462.mp3,911 Hunter emergency and 167 I got a ride from someone to what's historical called 535 Plaza because they were trying to kill me at 1: 5
call_734.mp3,9978 North America's office
call_146.mp3,Transcription service error: recognition connection failed: [Errno 32] Broken pipe
call_688.mp3,"392,010 at 8:22 a.m. listen to me where are you at in the house inside the bathroom lights"
call_200.mp3,Mundelein 911 where is your emergency 1397 Newport 1397 Newport what is the problem there we have a I think we have a dead person in here is the person how old is this person is there anyone else at the house okay so you just got home now and you found her call home period what's her name can you spell it a i n a l l okay what's your last name can you call 2 2 3
call_665.mp3,Ok Google Ok Google Ok Google I want you to 711 tell me immediately ok
call_315.mp3,Transcription service error: recognition request failed: Bad Request
call_645.mp3,91155 what's the address what's the address somebody else is there anybody else in the victim's house Justin Bieber shoes
call_179.mp3,Transcription service error: recognition connection failed: [Errno 32] Broken pipe
call_46.mp3,911 where's your emergency 91110
call_251.mp3,14 a.m. June 27th 2012
call_634.mp3,Transcription service error: recognition request failed: Bad Request
call_163.mp3,Transcription service error: recognition request failed: Bad Request
call_334.mp3,Greenwood 9119
call_468.mp3,Transcription service error: recognition request failed: Bad Request
call_499.mp3,Transcription service error: recognition request failed: Bad Request
